year,district,gmu_number,gmu_name,method,antlerless_harvest,antlered_harvest,total_harvest,points_1,points_2,points_3,points_4,points_5_plus,num_hunters,hunter_success_rate,hunter_days,days_per_kill
2013,1,101,SHERMAN,Archery,62,168,230,20,10,23,57,58,853,27%,"6,087",26.5
2013,1,101,SHERMAN,Modern Firearm,124,549,673,49,64,171,189,76,"2,788",24.1%,"12,841",19.1
2013,1,101,SHERMAN,Multiple Weapons,2,33,35,3,2,5,15,8,104,33.7%,746,21.3
2013,1,101,SHERMAN,Muzzleloader,0,53,53,7,7,18,16,5,176,30.1%,715,13.5
2013,1,105,KELLY HILL,Archery,7,18,25,3,0,8,7,0,118,21.2%,687,27.5
2013,1,105,KELLY HILL,Modern Firearm,30,283,313,36,40,59,91,57,"1,016",30.8%,"4,545",14.5
2013,1,105,KELLY HILL,Multiple Weapons,1,5,6,0,0,0,5,0,23,26.1%,166,27.7
2013,1,105,KELLY HILL,Muzzleloader,0,4,4,3,1,0,0,0,19,21.1%,66,16.5
2013,1,108,DOUGLAS,Archery,11,27,38,3,4,3,14,3,105,36.2%,656,17.3
2013,1,108,DOUGLAS,Modern Firearm,38,317,355,44,51,67,105,50,"1,080",32.9%,"4,877",13.7
2013,1,108,DOUGLAS,Multiple Weapons,2,5,7,1,0,0,3,1,23,30.4%,135,19.3
2013,1,108,DOUGLAS,Muzzleloader,0,7,7,3,2,2,0,0,22,31.8%,94,13.4
2013,1,111,ALADDIN,Archery,0,8,8,0,1,0,1,6,61,13.1%,427,53.4
2013,1,111,ALADDIN,Modern Firearm,49,415,464,81,67,82,139,46,"1,538",30.2%,"7,861",16.9
2013,1,111,ALADDIN,Multiple Weapons,0,6,6,0,0,1,2,3,22,27.3%,87,14.5
2013,1,111,ALADDIN,Muzzleloader,0,13,13,6,3,3,0,1,52,25%,224,17.2
2013,1,113,SELKIRK,Archery,0,9,9,3,0,0,5,1,122,7.4%,819,91
2013,1,113,SELKIRK,Modern Firearm,25,352,377,44,52,75,128,53,"1,660",22.7%,"8,461",22.4
