district,gmu_number,gmu_name,archery_hunters,archery_harvest,archery_success_rate,archery_hunter_days_per_kill,total_hunters,total_harvest,overall_success_rate,overall_hunter_days_per_kill
1,101,SHERMAN,523,143,27%,28,3084,624,20%,27
1,105,KELLY HILL,71,14,20%,29,833,281,34%,14
1,108,DOUGLAS,58,14,24%,29,948,295,31%,16
1,111,ALADDIN,43,3,7%,80,1159,320,28%,19
1,113,SELKIRK,81,8,10%,69,1526,263,17%,32
1,117,49 DEGREES NORTH,368,76,21%,35,3122,665,21%,25
1,121,HUCKLEBERRY,380,80,21%,28,4376,1301,30%,17
2,124,MOUNT SPOKANE,453,57,13%,52,3069,752,25%,21
2,127,MICA PEAK,232,58,25%,30,762,162,21%,23
2,130,CHENEY,108,17,16%,35,869,116,13%,33
2,133,ROOSEVELT,98,24,24%,21,1294,312,24%,20
2,136,HARRINGTON,59,11,19%,26,1223,350,29%,13
2,139,STEPTOE,51,8,16%,31,1142,398,35%,10
2,142,ALMOTA,30,9,30%,21,848,292,34%,10
3,145,MAYVIEW,24,2,8%,42,530,247,47%,7
3,149,PRESCOTT,89,15,17%,38,1730,575,33%,11
3,154,BLUE CREEK,115,12,10%,64,835,159,19%,24
3,157,MILL CREEK WATERSHED,,,,,,,,
3,162,DAYTON,106,5,5%,94,1270,199,16%,24
3,163,MARENGO,92,10,11%,52,503,152,30%,12
3,166,TUCANNON,25,2,8%,71,387,71,18%,23
3,169,WENAHA,6,2,33%,13,168,21,12%,32
3,172,MOUNTAIN VIEW,18,2,11%,48,266,53,20%,22
3,175,LICK CREEK,22,0,0%,0,405,57,14%,31
3,178,PEOLA,45,20,44%,10,561,254,45%,7
3,181,COUSE,9,1,11%,40,537,208,39%,10
3,186,GRANDE RONDE,7,0,0%,0,169,28,17%,22
4,372,RATTLESNAKE HILLS,44,7,16%,36,245,25,10%,34
4,373,HORSE HEAVEN,95,19,20%,26,494,105,21%,17
4,379,RINGOLD,55,0,0%,0,336,44,13%,40
4,381,KAHLOTUS,29,5,17%,25,878,244,28%,12
5,272,BEEZLEY,193,24,12%,51,1371,289,21%,21
5,278,WAHLUKE,48,7,15%,33,343,77,22%,19
5,284,RITZVILLE,82,24,29%,19,1129,444,39%,9
5,290,DESERT,,,,,,,,
6,203,PASAYTEN,,,,,308,10,3%,155
6,204,OKANOGAN EAST,614,153,25%,23,3514,709,20%,25
6,209,WANNACUT,81,19,23%,17,434,91,21%,21
6,215,SINLAHEKIN,370,72,19%,26,1292,232,18%,27
6,218,CHEWUCH,86,14,16%,35,1184,164,14%,37
6,224,PEARRYGIN,78,11,14%,40,1433,137,10%,50
6,231,GARDNER,42,9,21%,21,683,102,15%,34
6,233,POGUE,172,43,25%,21,975,181,19%,24
6,239,CHILIWIST,18,0,0%,0,749,120,16%,29
6,242,ALTA,27,2,7%,78,802,115,14%,31
7,243,MANSON,82,21,26%,15,550,139,25%,17
7,244,CLARK,19,0,0%,0,146,9,6%,78
7,245,CHIWAWA,52,7,13%,32,709,57,8%,61
7,246,SLIDE RIDGE,15,2,13%,24,307,42,14%,37
7,247,ENTIAT,94,9,10%,46,1116,110,10%,45
7,248,BIG BEND,56,10,18%,40,577,118,20%,19
7,249,ALPINE,23,2,9%,51,161,7,4%,81
7,250,SWAKANE,346,52,15%,33,1057,166,16%,27
7,251,MISSION,68,5,7%,72,978,139,14%,33
7,254,SAINT ANDREWS,22,4,18%,24,406,101,25%,16
7,260,FOSTER CREEK,24,5,21%,17,315,62,20%,20
7,262,WITHROW,12,2,17%,32,258,70,27%,14
7,266,BADGER,16,4,25%,22,255,95,37%,10
7,269,MOSES COULEE,15,0,0%,0,311,71,23%,17
8,328,NANEUM,148,9,6%,85,1048,93,9%,50
8,329,QUILOMENE,,,,,,,,
8,330,WEST BAR,,,,,14,,,
8,334,ELLENSBURG,37,11,30%,17,377,49,13%,33
8,335,TEANAWAY,123,4,3%,213,1604,238,15%,32
8,336,TANEUM,122,7,6%,96,640,44,7%,69
8,340,MANASTASH,125,9,7%,93,1062,80,8%,66
8,342,UMTANUM,88,2,2%,242,1035,95,9%,46
8,346,LITTLE NACHES,90,8,9%,61,666,27,4%,116
8,352,NILE,136,6,4%,132,443,24,5%,89
8,356,BUMPING,35,2,6%,129,218,5,2%,224
8,360,BETHEL,12,0,0%,0,249,7,3%,134
8,364,RIMROCK,97,2,2%,310,342,16,5%,103
8,368,COWICHE,180,14,8%,68,1075,79,7%,63
8,371,ALKALI,,,,,,,,
9,382,EAST KLICKITAT,100,22,22%,24,1106,285,26%,17
9,388,GRAYBACK,160,31,19%,29,890,182,20%,21
9,554,YALE,22,2,9%,51,248,64,26%,17
9,560,LEWIS RIVER,147,4,3%,239,1097,141,13%,43
9,564,BATTLE GROUND,224,59,26%,24,1595,620,39%,13
9,568,WASHOUGAL,161,41,25%,25,2019,652,32%,16
9,572,SIOUXON,115,3,3%,179,846,171,20%,24
9,574,WIND RIVER,38,5,13%,55,502,119,24%,20
9,578,WEST KLICKITAT,19,4,21%,31,1085,197,18%,30
10,501,LINCOLN,96,31,32%,16,1283,420,33%,17
10,503,RANDLE,31,0,0%,0,367,80,22%,24
10,504,STELLA,29,7,24%,21,265,115,43%,14
10,505,MOSSYROCK,188,29,15%,43,1203,405,34%,16
10,506,WILLAPA HILLS,114,4,4%,189,1162,336,29%,21
10,510,STORMKING,44,7,16%,26,316,44,14%,34
10,513,SOUTH RAINIER,58,2,3%,161,249,33,13%,37
10,516,PACKWOOD,118,9,8%,97,615,96,16%,34
10,520,WINSTON,258,87,34%,18,1634,567,35%,17
10,522,LOO-WIT,,,,,,,,
10,524,MARGARET,54,11,20%,29,221,51,23%,27
10,530,RYDERWOOD,232,27,12%,59,1812,614,34%,18
10,550,COWEEMAN,113,16,14%,44,2113,796,38%,16
10,556,TOUTLE,97,24,25%,23,1176,315,27%,20
11,652,PUYALLUP,234,44,19%,47,881,265,30%,22
11,653,WHITE RIVER,33,0,0%,0,411,76,18%,28
11,654,MASHEL,190,26,14%,49,1336,258,19%,31
11,655,ANDERSON ISLAND,2,0,0%,0,34,18,53%,5
11,666,DESCHUTES,169,33,20%,34,923,270,29%,19
11,667,SKOOKUMCHUCK,332,68,20%,39,2199,896,41%,16
12,422,VASHON - MAURY,27,13,48%,10,206,94,46%,8
12,454,ISSAQUAH,170,36,21%,34,660,194,29%,20
12,460,SNOQUALMIE,121,9,7%,88,737,118,16%,35
12,466,STAMPEDE,32,0,0%,0,138,14,10%,45
12,485,GREEN RIVER,,,,,,,,
12,490,CEDAR RIVER,,,,,,,,
13,410,ISLANDS,36,5,14%,30,116,52,45%,8
13,411,ORCAS,14,5,36%,7,88,43,49%,7
13,412,SHAW,10,4,40%,16,31,18,58%,6
13,413,SAN JUAN,18,8,44%,17,91,55,60%,6
13,414,LOPEZ,23,10,43%,10,107,52,49%,8
13,415,BLAKELY,2,2,100%,4,34,17,50%,7
13,416,DECATUR,2,2,100%,6,7,7,100%,5
13,417,CYPRESS,8,2,25%,11,42,4,10%,31
13,419,GUEMES,4,2,50%,14,31,18,58%,6
13,420,WHIDBEY,154,36,23%,24,684,292,43%,12
13,421,CAMANO,9,4,44%,16,73,17,23%,21
13,448,STILLAGUAMISH,221,23,10%,66,1003,166,17%,37
13,450,CASCADE,2,0,0%,0,73,2,3%,162
14,407,NORTH SOUND,427,94,22%,31,1839,555,30%,19
14,418,NOOKSACK,61,0,0%,0,775,112,14%,35
14,426,DIABLO,5,0,0%,0,35,11,31%,11
14,437,SAUK,195,32,16%,39,970,191,20%,27
15,621,OLYMPIC,161,55,34%,20,1532,481,31%,19
15,624,COYLE,155,52,34%,25,881,351,40%,15
15,627,KITSAP,259,64,25%,32,1007,352,35%,16
15,633,MASON,109,23,21%,32,1666,517,31%,18
15,636,SKOKOMISH,97,20,21%,25,694,216,31%,18
15,651,SATSOP,64,17,27%,29,1077,381,35%,17
16,601,HOKO,4,0,0%,0,178,57,32%,16
16,602,DICKEY,8,0,0%,0,328,123,38%,13
16,603,PYSHT,55,6,11%,75,465,171,37%,15
16,607,SOL DUC,18,2,11%,39,202,57,28%,16
16,612,GOODMAN,21,2,10%,136,192,60,31%,19
16,615,CLEARWATER,43,2,5%,156,284,49,17%,36
17,618,MATHENY,4,0,0%,0,27,2,7%,56
17,638,QUINAULT RIDGE,16,0,0%,0,111,10,9%,46
17,642,COPALIS,15,2,13%,90,181,70,39%,16
17,648,WYNOOCHEE,105,18,17%,44,1156,349,30%,18
17,658,NORTH RIVER,40,4,10%,85,508,138,27%,28
17,660,MINOT PEAK,143,32,22%,33,1036,353,34%,20
17,663,CAPITOL PEAK,296,63,21%,29,1768,423,24%,24
17,672,FALL RIVER,258,76,29%,24,1065,369,35%,19
17,673,WILLIAMS CREEK,135,14,10%,62,754,128,17%,37
17,681,BEAR RIVER,94,2,2%,298,385,82,21%,28
17,684,LONG BEACH,14,6,43%,13,94,41,44%,13
17,699,LONG ISLAND,19,0,0%,0,21,,,
